yte96oKFbRsJ	E Halperin	2015	Emotions in conflict: Inhibitors and facilitators of peace making		https://books.google.com/books?hl=en&lr=&id=PMg0CwAAQBAJ&oi=fnd&pg=PP1&ots=PytEV0ggtx&sig=n9eFrIxlkObPW5PmwwaGEvELhQ8	google
zs2dZBm3yCEJ	M Ratzmann	2015	Zusammenarbeit in altersdiversen Innovationsteams	Teamkonstellation und betriebliche	https://link.springer.com/chapter/10.1007/978-3-658-07386-2_7	google
yduzUNpijvQJ	SC Wright	2001	Strategic collective action: Social psychology and social change	Blackwell handbook of social psychology	http://onlinelibrary.wiley.com/doi/10.1002/9780470693421.ch20/summary	google
GEHmdKs6AA4J	"AS De Pauw, P Arjaan, H Van den Broeck"	2013	Bridging the faultline gap: Subgroup composition and Goal Structure in Crossed-Groups Social Dilemmas	Ann-Sophie De Pau	https://biblio.ugent.be/publication/4175929/file/4177084#page=121	google
gejIk20NumkJ	M Avci-Werning	2004	Prävention ethnischer Konflikte in der Schule		https://books.google.com/books?hl=en&lr=&id=zL6nuKy-BV0C&oi=fnd&pg=PA13&ots=4qKGGN3fry&sig=iQ03OGY_okGPIHSe714wSGtd2nM	google
GZmXF2fUFgAJ	KM Thomas	2012	Diversity resistance in organizations		https://books.google.com/books?hl=en&lr=&id=RVrTpCEzLXIC&oi=fnd&pg=PR5&ots=iANG9E7IE8&sig=X12jNwUKQsgE3KLqK5-ilfkWPAo	google
8J8Dq6EFO3cJ	B Zoubi	2007	PROMOTING PEACE EDUCATION THROUGH COOPERATION		https://www.researchgate.net/profile/Baha_Zoubi/publication/283272005_PROMOTING_PEACE_EDUCATION_THROUGH_COOPERATION_BETWEEN_JEWISH_AND_ARAB_YOUTH_PLAYERS_IN_COMMON_SOCCER_CLUBS_IN_ISRAEL/links/562fe6da08aea4eec6dddf17/PROMOTING-PEACE-EDUCATION-THROUGH-COOPERATION-BETWEEN-JEWISH-AND-ARAB-YOUTH-PLAYERS-IN-COMMON-SOCCER-CLUBS-IN-ISRAEL.pdf	google
_6iJonoooCkJ	CRD Wagstaff	2016	The organizational psychology of sport: key issues and practical applications		https://books.google.com/books?hl=en&lr=&id=LTQlDwAAQBAJ&oi=fnd&pg=PP1&ots=2BRIlryXU5&sig=lvkuU11NqUIGZ6yvmSdvvQZ4tYk	google
wkjs7YGMYP8J	PW Krins	2011	Beyond the “right stuff”: The role of group processes in isolated confined extreme environments		https://openresearch-repository.anu.edu.au/handle/1885/49430	google
9pM-xBYoZksJ	"U Wagner, DPO Christ…"	2001	Materialsammlung: Maßnahmen zur Kriminalitätsprävention im Bereich Hasskriminalität unter besonderer Berücksichtigung primär präventiver Maßnahmen	… von Gewalt gegen	https://publikationen.uni-tuebingen.de/xmlui/bitstream/handle/10900/66738/Massnahmen.pdf?sequence=1	google
kAhBrTnvreAJ	ЮС Смирнова	2007	Пути ослабления предубеждений: возможности и ограничения		http://elib.bsu.by/handle/123456789/8587	google
BD4EiD9k5wIJ	J Van de Vyver…	2017	Community Connectedness Through the Arts	If you could do one thing	http://eprints.lincoln.ac.uk/30529/1/__network.uni_staff_S2_jvandevyver_RDS_Desktop_British%20Academy%20IYCDOT%20Essays.pdf#page=60	google
