endnote-1.1814603946549555e+18			Forcible cooling type superconducting wire|has stabilising material having rectangular cross=section	 		endnote	
endnote-1.8123788081247033e+19			Time stage for PCM time multiplex switching panels|operates in digital conference system using associative and sample buffer memories	 		endnote	
endnote-1.5742364652404363e+19			Suspended filing system with pockets in groups|has moulded plastics identification tabs which clip into tabs of adjacent files	 		endnote	
endnote-1.3568550216537248e+19			Linear stepping motor with unwound armature|armature has transverse annular teeth and stator longitudinal slots	 		endnote	
endnote-1.3465012096339837e+19		1970	Relocatale Learning Facilities	 33		endnote	
endnote-1.086665252522012e+19		1991	Program of the thirteenth annual conference of the Cognitive Science Society	Program of the thirteenth annual conference of the Cognitive Science Society. 		endnote	
endnote-1.1860944211597562e+19		1992	Proceedings of the fourteenth annual conference of the Cognitive Science Society	Proceedings of the fourteenth annual conference of the Cognitive Science Society. 		endnote	
endnote-6.056405573939042e+18		1997	Fresno City College, Exploring America's Communities. Progress Report	 8		endnote	
endnote-1.3091102817978208e+19		2000	Human sexuality (It's personal)			endnote	
endnote-3.5910565590109164e+18		2003	Commentaries on Being Gay in Japan and China	Journal of Gay & Lesbian Issues in Education 1 43-54		endnote	
endnote-1.8001615653121982e+19		2003	Guidelines on Multicultural Education, Training, Research, Practice, and Organizational Change for Psychologists	American Psychologist 58 377-402		endnote	
endnote-8.848165640631271e+18		2004	Spotlight on student research: Ludwin Molina	3		endnote	
endnote-1.0441421389525475e+19		2006	Couple Power Therapy			endnote	
endnote-1.5873083124452764e+19		2006	Group ecology	Small Groups: Key Readings 421-431 		endnote	
endnote-1.1119536312010756e+19		2007	Words and Concepts. What Works Clearinghouse Intervention Report	 14		endnote	
endnote-1.1612207646246025e+19		2008	The doctor-patient relationship is strengthened when patients see themselves as similar to their physicians	22		endnote	
endnote-1.3514676418845456e+19		2012	Using Civic Participation and a Sense of Belonging in Immigration Policy	2-pp		endnote	
endnote-5.387286852842076e+18		2017	Understanding attitudes toward recent arrivals to the United States	np		endnote	
endnote-1.1495910133586213e+19		2018	The Process of Social Alignment and Misalignment within a Complex IT Project	ICIS 2017: Transforming Society with Digital Innovation		endnote	
endnote-1.3400543992855288e+19	Aapengnuo, C. M.	2013	Power and Social Identity—The Crisis of Legitimacy of Traditional Rule in Northern Ghana and Ethnic Conflicts	Ph.D. George Mason University		endnote	
endnote-3.3482650753693716e+18	Abad-Merino, S., Dovidio, J. F., Tabernero, C. & González, I.	2018	The systematic study of how subtle forms of bias related to prosocial behavior operate in racial and gender relations	Theory and Psychology 28 104-121		endnote	
endnote-1.156488266036664e+19	Abasi, A. R.	2008	Writing under the gaze: Plagiarism policies and international ESL students patchwriting in graduate school	Ph.D. University of Ottawa (Canada)		endnote	
endnote-1.447954174970163e+19	Abbas, M. B.	2015	Knowing Islam: The entangled history of western academia and modern Islamic thought	Ph.D. Princeton University		endnote	
endnote-9.2626707148964e+18	Abbate, C. S. & Ruggieri, S.	2016	The effect of social norms and the presence of bystanders on altruistic behavior	Prosocial Behavior: Perspectives, Influences and Current Research 33-71 		endnote	
endnote-1.5385563862764972e+19	Abbott, N. & Cameron, L.	2014	What Makes a Young Assertive Bystander? The Effect of Intergroup Contact, Empathy, Cultural Openness, and In-Group Bias on Assertive Bystander Intervention Intentions	Journal of Social Issues 70 167-182		endnote	
endnote-1.4927360304967549e+19	Abbott, S. & McConkey, R.	2006	The barriers to social inclusion as perceived by people with intellectual disabilities	Journal of Intellectual Disabilities 10 275-287		endnote	
endnote-3.192864159904477e+18	Abdelaal, M. M. & Aboelatta, Y. A.	2015	Dermo-Fascial Suspension for Better Contouring and Long Lasting Results in Reduction Mammoplasty	Aesthetic Plastic Surgery 39 78-83		endnote	
endnote-7.199635702379102e+18	Abdelal, R., Herrera, Y. M., Johnston, A. I. & McDermott, R.	 2009	Measuring identity: A guide for social scientists			endnote	
endnote-1.3557769262639297e+19	Abdul Gafoor, K.	2013	Principles of Integration of Sustainability Science in Educational Practice	 5		endnote	
endnote-7.610753561024258e+18	Abdula, A. L.	2008	Factors affecting the salary of agricultural economics professionals	M.S. University of Arkansas		endnote	
endnote-1.154407610806096e+18	Abdullah, A. A.	1982	Developmental differences in WISC subtests among children with learning problems in Kuwait	Ph.D. University of Southern California		endnote	
endnote-5.861290822745373e+18	Abell, J.	2013	Volunteering to Help Conserve Endangered Species: An Identity Approach to Human-Animal Relationships	Journal of Community and Applied Social Psychology 23 157-170		endnote	
endnote-1.2355900145579205e+19	Abell, J. & Stevenson, C.	2011	Defending the Faith(s)? Democracy and Hereditary Right in England	Political Psychology 32 485-504		endnote	
endnote-1.6198007373379416e+19	Abellan, P., Sanchez-Fernandez, D., Picazo, F., Millan, A., Lobo, J. M. & Ribera, I.	2013	Preserving the evolutionary history of freshwater biota in Iberian National Parks	Biological Conservation 162 116-126		endnote	
endnote-9.843405038466144e+18	Aberson, C. L.	1999	Ingroup bias and self-esteem: A meta-analysis	Ph.D. The Claremont Graduate University		endnote	
endnote-2.2302706722681733e+18	Aberson, C. L.	2003	Aversive bias toward gay men?	Current Research in Social Psychology 8 		endnote	
endnote-5.854109009651388e+18	Aberson, C. L., Porter, M. K. & Gaffney, A. M.	2008	Friendships influence hispanic students' implicit attitudes toward white non-hispanics relative to African Americans	Hispanic Journal of Behavioral Sciences 30 544-556		endnote	
endnote-3.435355650246023e+18	Abrahamsson, K. H., Berggren, U., Hallberg, L. & Carlsson, S. G.	2002	Dental phobic patients' views of dental anxiety and experiences in dental care: A qualitative study	Scandinavian Journal of Caring Sciences 16 188-196		endnote	
endnote-1.3501903407282764e+19	Abramowitz, A.	2006	Racism in the legal system and an intervention program for schools, police, and law students	Psy.D. Widener University, Institute for Graduate Clinical Psychology		endnote	
endnote-8.108110786924335e+18	Abrams, D.	1994	POLITICAL DISTINCTIVENESS - AN IDENTITY OPTIMIZING APPROACH	European Journal of Social Psychology 24 357-365		endnote	
